,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,zone
2031,19111119,The Nest,59622782,Arianna,,Porto - Saragozza,44.49756341520319,11.343067249674068,Entire home/apt,65,2,48,2018-08-02,3.24,2,45,Marconi
2032,19117278,La Carlina,133574506,La Carlina,,Porto - Saragozza,44.49965567961939,11.340693319349006,Entire home/apt,80,2,34,2018-08-04,2.3,2,119,Marconi
2033,19133162,Newly Refurbished Studio Flat - Hosts 4. @FlatinBo,50429991,Filippo,,Porto - Saragozza,44.503676535172225,11.335146652037489,Entire home/apt,69,2,10,2018-07-19,0.71,7,162,Saffi
2034,19134334,DALLA CORTE B&B - Super Exclusive City Centre,132481507,Federico,,Santo Stefano,44.492521458401306,11.342818100942145,Private room,43,1,166,2018-08-24,11.53,3,59,Galvani
2035,19136366,你呢,67932167,Sandy,,Navile,44.508546588022654,11.337432237078154,Private room,501,1,0,,,1,179,Bolognina
2036,19147569,Ampia stanza privata soppalcata con salotto,93956698,Tania,,Savena,44.48386257543036,11.379063971795588,Private room,32,2,9,2018-08-26,0.62,2,54,Mazzini
2037,19153309,"ELEGANT STUDIO in an ex-movie theatre, 3 guests",97298944,Silvia,,Porto - Saragozza,44.49690331994065,11.333160336223113,Entire home/apt,140,3,0,,,4,335,Marconi
2038,19154902,"BRIGHT AND ROMANTIC STUDIO, City center",97298944,Silvia,,Porto - Saragozza,44.497134301549615,11.332550971701606,Entire home/apt,125,3,0,,,4,5,Marconi
2039,19155779,WOOD AND LOVE HOME  IN BOLOGNINA,133933552,Nuvola,,Navile,44.51940319771707,11.352266621289791,Entire home/apt,50,2,3,2018-01-01,0.21,1,355,Bolognina
2040,19165285,Luxury apartment in the historic center of Bologna,36417229,Nereo,,Santo Stefano,44.492388615863696,11.351793035644686,Entire home/apt,70,2,5,2018-05-17,0.36,2,164,Irnerio
2041,19174870,"University bed lodging,central 3",130602937,Sarti-Bedosti,,San Donato - San Vitale,44.494969004865,11.357163786831672,Shared room,23,1,9,2018-05-21,0.77,3,0,S. Vitale
2042,19175436,"Light room at university area,private with  3 beds",130602937,Sarti-Bedosti,,San Donato - San Vitale,44.494901336758566,11.357626438058555,Private room,80,2,0,,,3,0,S. Vitale
2043,19191500,Lombardi apartment,134098343,Elisa,,Navile,44.516867374197034,11.349426232420402,Entire home/apt,72,3,0,,,1,281,Bolognina
2044,19196611,Your Big Room - B&B SpeakEasy - Le due Torri,132100903,Tatiana,,Santo Stefano,44.495476703570546,11.348110485759635,Private room,49,1,3,2017-08-10,0.21,3,84,Irnerio
2045,19200385,Attico in zona Mazzini,39728560,Gaia,,Savena,44.48244040040884,11.380119500884506,Entire home/apt,39,1,42,2018-08-26,4.14,1,110,Mazzini
2046,19206402,"Wide, bright and comfortable stylish double room",118672629,Ernesto,,Porto - Saragozza,44.499279950653346,11.328368822756353,Private room,35,1,45,2018-02-05,3.15,3,40,Marconi
2047,19214555,La Stanza del Mare - B&B SpeakEasy - Le Due Torri,132100903,Tatiana,,Santo Stefano,44.49531412769304,11.346618303778572,Private room,48,1,18,2017-10-09,1.26,3,85,Irnerio
2048,19218129,double bedroom apartement,7619557,Lino,,Navile,44.509131422592304,11.34775620975605,Entire home/apt,75,1,40,2018-08-24,2.84,2,318,Bolognina
2049,19218777,Il Nido - B&B SpeakEasy - Le Due Torri,132100903,Tatiana,,Santo Stefano,44.49421620030721,11.348020471088207,Private room,44,1,4,2017-07-19,0.28,3,84,Irnerio
2050,19219087,Gli Asinelli sul comò,29050907,Daniela,,Santo Stefano,44.49826692368895,11.35662617808565,Entire home/apt,90,2,3,2017-09-22,0.26,1,159,Irnerio
